#========================================================================================================																				
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example												
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch										
#	Surveys:	1	NMFS	Trawl	Survey,	2	BSFRF	Survey												
#========================================================================================================																				
1976	#	Start	year																	
2014	#	End	year																	
1	    #	Time-step	(years)																	
6	    #	Number	of	distinct	data	groups	(among	fishing	fleets	and	surveys)									
	2007	2	4	1	10.754	0.05	1	2	1	0	0.2									
	2008	2	4	1	9.136	0.05	1	2	1	0	0.2									
	2009	2	4	1	2.219	0.05	1	2	1	0	0.2									
	2010	2	4	1	1.96	0.05	1	2	1	0	0.2									
	2011	2	4	1	2.543	0.05	1	2	1	0	0.2									
	2012	2	4	1	4.03	0.05	1	2	1	0	0.2									
	2013	2	4	1	13.902	0.05	1	2	1	0	0.2									
	2014	2	4	1	2.169	0.05	1	2	1	0	0.2									
##	————————————————————————————————————————————————————————————————————————————————————	##																		
##	RELATIVE	ABUNDANCE	DATA																	
##	Units	of	Abundance:	1	=	biomass,	2	=	numbers											
##	for	BBRKC	Units	are	in	million	crabs	for	Abundance.											
##	————————————————————————————————————————————————————————————————————————————————————	##																		
##	Number	of	relative	abundance	indicies															
2																				
##	Number	of	rows	in	each	index														
14	37																			
#	Survey	data	(abundance	indices,	units	are	1000	of	crabs)											
#	Year	Seas	Fleet	Sex	Abundance	CV	units													
	1976	1	5	1	4247.462	0.311	2													
	1979	1	5	1	1417.215	0.204	2													
	1982	1	5	1	2791.733	0.289	2													
	1985	1	5	1	2306.321	0.254	2													
	1988	1	5	1	2263.353	0.288	2													
	1991	1	5	1	3132.508	0.428	2													
	2010	1	5	1	2041.02	0.455	2													
	1996	1	5	1	1264.691	0.317	2													
	1999	1	5	1	2276.095	0.194	2													
	2002	1	5	1	1747.581	0.125	2													
	2006	1	5	1	2549.726	0.288	2													
	2008	1	5	1	2707.083	0.164	2													
	2011	1	5	1	2701.708	0.133	2													
	2014	1	5	1	5481.5	0.486	2													
#	Catch CPUE	data	(abundance	indices,	units	are	catch CPUE		crabs)											
#	Year	Seas	Fleet	Sex	Abundance	CV	units													
	1977	1	6	1	3.437762237	0.34197571	2													
	1978	1	6	1	2.822551719	0.225481204	2													
	1979	1	6	1	2.595617932	0.173994077	2													
	1980	1	6	1	2.434575754	0.249767972	2													
	1981	1	6	1	0.744464703	0.170823698	2													
	1982	1	6	1	0.131656914	0.250528818	2													
	1983	1	6	1	0.902523322	0.215670389	2													
	1984	1	6	1	1.08782846	0.228990399	2													
	1985	1	6	1	0.366410635	0.210401513	2													
	1986	1	6	1	0.996600918	0.426212113	2													
	1987	1	6	1	0.631410987	0.322875239	2													
	1988	1	6	1	1.511219841	0.704880904	2													
	1989	1	6	1	1.611476557	0.332485206	2													
	1990	1	6	1	1.182279915	0.415432361	2													
	1992	1	6	1	0.25529254	0.314335609	2													
	1993	1	6	1	0.906423386	0.079866709	2													
	1994	1	6	1	0.810282647	0.049349507	2													
	1995	1	6	1	0.482184482	0.044931912	2													
	1996	1	6	1	0.447705464	0.057769037	2													
	1997	1	6	1	0.861633103	0.084132537	2													
	1998	1	6	1	0.746831692	0.120462202	2													
	1999	1	6	1	0.779001577	0.115230595	2													
	2000	1	6	1	1.279663493	0.060869919	2													
	2001	1	6	1	0.713441815	0.045087684	2													
	2002	1	6	1	1.231829138	0.057274111	2													
	2003	1	6	1	0.906911328	0.048849717	2													
	2004	1	6	1	1.396939227	0.050112896	2													
	2005	1	6	1	1.321496477	0.047858937	2													
	2006	1	6	1	1.460213643	0.04742779	2													
	2007	1	6	1	1.153505118	0.048796872	2													
	2008	1	6	1	1.50293962	0.049353333	2													
	2009	1	6	1	0.935329967	0.043093615	2													
	2010	1	6	1	1.349240406	0.045271873	2													
	2011	1	6	1	1.660502064	0.053410468	2													
	2012	1	6	1	1.415665457	0.044196782	2													
	2013	1	6	1	0.723348001	0.039107405	2													
	2014	1	6	1	1.230130348	0.046386349	2													
##	Number	of	length	frequency	matrixes															
4																				
##	Number	of	rows	in	each	matrix														
74	28 54 18																
##	Number	of	bins	in	each	matrix	(columns	of	size	data)										
6 6 6 6
##	SIZE	COMPOSITION	DATA	FOR	ALL	FLEETS														
##	————————————————————————————————————————————————————————————————————————————————————	##																		
##	SIZE	COMP	LEGEND																	
##	Sex:	1	=	male,	2	=	female,	0	=	both	sexes	combined								
##	Type	of	composition:	1	=	retained,	2	=	discard,	0	=	selectivity								
##	Maturity	state:	1	=	immature,	2	=	mature,	0	=	both	states	combined							
##	Shell	condition:	1	=	new	shell,	2	=	old	shell,	0	=	both	shell	types	combined				
##	————————————————————————————————————————————————————————————————————————————————————	##																		
##length	proportions	of	Summer Commercial Catches	males																
##	Year	Seas	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec											
	1977	1	1	1	1	1	0	100	0	0	0.0032	0.4196	0.3422	0.122	
	1977	1	1	1	1	2	0	100	0	0	0	0.0626	0.04	0.0103
	1978	1	1	1	1	1	0	100	0	0	0.0103	0.1851	0.473	0.3059	
	1978	1	1	1	1	2	0	100	0	0	0	0.0051	0.0103	0.0103
	1979	1	1	1	1	1	0	100	0	0	0.0253	0.2325	0.3831	0.3217	
	1979	1	1	1	1	2	0	100	0	0	0	0.0253	0.0006	0.0114
	1980	1	1	1	1	1	0	100	0	0	0.0037	0.0983	0.3062	0.5543	
	1980	1	1	1	1	2	0	100	0	0	0	0.0028	0.0112	0.0234
	1981	1	1	1	1	1	0	100	0	0	0.0039	0.0734	0.1541	0.509	
	1981	1	1	1	1	2	0	100	0	0	0	0.0045	0.0504	0.2046
	1982	1	1	1	1	1	0	100	0	0	0.0421	0.1921	0.1647	0.505	
	1982	1	1	1	1	2	0	100	0	0	0.0037	0.0128	0.022	0.0576
	1983	1	1	1	1	1	0	100	0	0	0.0387	0.4127	0.3579	0.0973	
	1983	1	1	1	1	2	0	100	0	0	0.0037	0.0362	0.01	0.0436
	1984	1	1	1	1	1	0	100	0	0	0.0966	0.4195	0.2804	0.0717	
	1984	1	1	1	1	2	0	100	0	0	0.0104	0.0654	0.0488	0.0073
	1985	1	1	1	1	1	0	100	0	0.0004	0.0643	0.3122	0.3716	0.1747	
	1985	1	1	1	1	2	0	100	0	0	0.0026	0.0334	0.0312	0.0097
	1986	1	1	1	1	1	0	100	0	0	0.029	0.3559	0.3937	0.1353	
	1986	1	1	1	1	2	0	100	0	0	0.0018	0.0202	0.0378	0.0264
	1987	1	1	1	1	1	0	100	0	0	0.0166	0.1788	0.2912	0.3798	
	1987	1	1	1	1	2	0	100	0	0	0.0025	0.0267	0.065	0.0393
	1988	1	1	1	1	1	0	100	0.0007	0	0.0237	0.2004	0.3003	0.2181	
	1988	1	1	1	1	2	0	100	0.0007	0	0.0059	0.0644	0.0972	0.0894
	1989	1	1	1	1	1	0	100	0	0	0.0127	0.1643	0.3185	0.2148	
	1989	1	1	1	1	2	0	100	0	0	0.0042	0.0555	0.1215	0.1084
	1990	1	1	1	1	1	0	100	0	0	0.0147	0.1435	0.3468	0.3251	
	1990	1	1	1	1	2	0	100	0	0	0.0008	0.0372	0.0737	0.0582
	1992	1	1	1	1	1	0	100	0	0	0.0172	0.201	0.2662	0.2244	
	1992	1	1	1	1	2	0	100	0	0	0.0027	0.0792	0.1292	0.08
	1993	1	1	1	1	1	0	100	0	0	0.0142	0.2312	0.3939	0.263	
	1993	1	1	1	1	2	0	100	0	0	0.0004	0.0173	0.0437	0.0362
	1994	1	1	1	1	1	0	100	0	0	0.0248	0.0941	0.0817	0.0891	
	1994	1	1	1	1	2	0	100	0	0	0.0248	0.1881	0.25	0.2475
	1995	1	1	1	1	1	0	100	0	0	0.0392	0.2615	0.2853	0.207	
	1995	1	1	1	1	2	0	100	0	0	0.0077	0.0486	0.0741	0.0767
	1996	1	1	1	1	1	0	100	0	0	0.0318	0.2236	0.2389	0.141	
	1996	1	1	1	1	2	0	100	0	0	0.014	0.1194	0.136	0.0953
	1997	1	1	1	1	1	0	100	0	0	0.0292	0.3656	0.3414	0.1244	
	1997	1	1	1	1	2	0	100	0	0	0.0033	0.0559	0.0417	0.0384
	1998	1	1	1	1	1	0	100	0	0	0.0284	0.2332	0.2427	0.1071	
	1998	1	1	1	1	2	0	100	0	0	0.0218	0.1118	0.1431	0.1118
	1999	1	1	1	1	1	0	100	0	0	0.0026	0.2434	0.2698	0.3836	
	1999	1	1	1	1	2	0	100	0	0	0	0	0.0423	0.0582
	2000	1	1	1	1	1	0	100	0	0	0.0194	0.2991	0.3917	0.1249	
	2000	1	1	1	1	2	0	100	0	0	0.0028	0.0531	0.0654	0.0436
	2001	1	1	1	1	1	0	100	0	0	0.0243	0.2232	0.3691	0.2781	
	2001	1	1	1	1	2	0	100	0	0	0.0008	0.0241	0.0497	0.0304
	2002	1	1	1	1	1	0	100	0	0	0.0442	0.2341	0.2814	0.3253	
	2002	1	1	1	1	2	0	100	0	0	0.0046	0.0282	0.0419	0.0402
	2003	1	1	1	1	1	0	100	0	0	0.0232	0.368	0.3197	0.1523	
	2003	1	1	1	1	2	0	100	0	0	0.0011	0.0218	0.0465	0.0674
	2004	1	1	1	1	1	0	100	0	0	0.0087	0.3811	0.388	0.1395	
	2004	1	1	1	1	2	0	100	0	0	0.0004	0.0255	0.0347	0.0221
	2005	1	1	1	1	1	0	100	0	0	0.0022	0.2539	0.4709	0.1823	
	2005	1	1	1	1	2	0	100	0	0	0	0.0205	0.0451	0.025
	2006	1	1	1	1	1	0	100	0	0	0.0021	0.1822	0.3484	0.199	
	2006	1	1	1	1	2	0	100	0	0	0.0003	0.0498	0.1375	0.0807
	2007	1	1	1	1	1	0	100	0	0	0.0111	0.3574	0.3407	0.1714	
	2007	1	1	1	1	2	0	100	0	0	0.0008	0.0247	0.0573	0.0366
	2008	1	1	1	1	1	0	100	0	0	0.0047	0.3512	0.3476	0.0668	
	2008	1	1	1	1	2	0	100	0	0	0.0014	0.0895	0.0928	0.0461
	2009	1	1	1	1	1	0	100	0	0	0.0105	0.3445	0.3294	0.1339	
	2009	1	1	1	1	2	0	100	0	0	0.0012	0.0768	0.0795	0.0242
	2010	1	1	1	1	1	0	100	0	0	0.0053	0.3855	0.3617	0.1095	
	2010	1	1	1	1	2	0	100	0	0	0.0019	0.0546	0.0546	0.0271
	2011	1	1	1	1	1	0	100	0	0	0.0043	0.317	0.3969	0.1387	
	2011	1	1	1	1	2	0	100	0	0	0.002	0.0611	0.0588	0.0212
	2012	1	1	1	1	1	0	100	0	0	0.0026	0.2421	0.462	0.2067	
	2012	1	1	1	1	2	0	100	0	0	0.0002	0.0259	0.0423	0.0182
	2013	1	1	1	1	1	0	100	0	0	0.0044	0.2388	0.371	0.302	
	2013	1	1	1	1	2	0	100	0	0	0.0003	0.014	0.0422	0.0272
	2014	1	1	1	1	1	0	100	0	0	0.0085	0.2828	0.236	0.2565	
	2014	1	1	1	1	2	0	100	0	0	0.0002	0.0412	0.0865	0.0882
##length	proportions	of	Trawl  Survey Male																	
##	Year	Seas	Fleet	Sex	Type	Shell	Maturity	
	1976	1	5	1	1	1	0	100	0.0214	0.1053	0.1915	0.3455	0.1831	0.029	
	1976	1	5	1	1	2	0	100	0.0214	0.0114	0.0252	0.032	0.0366	0.0145
	1979	1	5	1	1	1	0	100	0.0151	0.0075	0.0301	0.0752	0.0827	0.0602	
	1979	1	5	1	1	2	0	100	0.0151	0.0075	0.0301	0.1203	0.3835	0.188
	1982	1	5	1	1	1	0	100	0.0898	0.2031	0.2891	0.2109	0.0352	0.0078	
	1982	1	5	1	1	2	0	100	0.0898	0.0156	0.0195	0.043	0.0234	0.0625
	1985	1	5	1	1	1	0	100	0.119	0.2122	0.1865	0.1768	0.0643	0.0193	
	1985	1	5	1	1	2	0	100	0.119	0	0.0193	0.0514	0.0868	0.0643
	1988	1	5	1	1	1	0	100	0.2255	0.1405	0.1536	0.1275	0.0686	0.0392	
	1988	1	5	1	1	2	0	100	0.2255	0.0065	0.0131	0.0392	0.0882	0.098
	1991	1	5	1	1	1	0	100	0.0967	0.0223	0.0372	0.0743	0.0409	0.0223	
	1991	1	5	1	1	2	0	100	0.0967	0.0297	0.0967	0.197	0.1747	0.1375
	2010	1	5	1	1	1	0	100	0.2959	0.1786	0.1224	0.0816	0.0051	0.0153	
	2010	1	5	1	1	2	0	100	0.2959	0.0357	0.0459	0.0612	0.0612	0.0918
	1996	1	5	1	1	1	0	100	0.0109	0.1058	0.2993	0.2701	0.1314	0.0401	
	1996	1	5	1	1	2	0	100	0.0109	0.0036	0.0292	0.0511	0.0401	0.0182
	1999	1	5	1	1	1	0	100	0.1261	0.1435	0.1565	0.0304	0.0348	0.0348	
	1999	1	5	1	1	2	0	100	0.1261	0.0739	0.1087	0.0957	0.0913	0.0739
	2002	1	5	1	1	1	0	100	0.3235	0.2614	0.1405	0.0752	0.0458	0.0294	
	2002	1	5	1	1	2	0	100	0.3235	0	0.0196	0.0458	0.0458	0.0131
	2006	1	5	1	1	1	0	100	0.1743	0.2407	0.1286	0.112	0.0332	0.029	
	2006	1	5	1	1	2	0	100	0.1743	0.0498	0.0705	0.0954	0.0125	0.0456
	2008	1	5	1	1	1	0	100	0.1202	0.1366	0.2077	0.1257	0.1093	0.0437	
	2008	1	5	1	1	2	0	100	0.1202	0.0328	0.082	0.071	0.0383	0.0219
	2011	1	5	1	1	1	0	100	0.1282	0.0989	0.1282	0.2051	0.1612	0.0476	
	2011	1	5	1	1	2	0	100	0.1282	0.0147	0.0256	0.0989	0.0513	0.0366
	2014	1	5	1	1	1	0	100	0.1607	0.2576	0.1939	0.0997	0.0166	0.0233	
	2014	1	5	1	1	2	0	100	0.1607	0.0277	0.1053	0.0554	0.0471	0.0139
##length	proportions	of	Winter Pot Survey																	
##	Year	Seas	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec											
	1982	1	6	1	1	1	0	100	0.1481	0.3374	0.3169	0.1029	0.0288	0.0247	
	1982	1	6	1	1	2	0	100	0.1481	0	0.0041	0.0082	0.0082	0.0206
	1983	1	6	1	1	1	0	100	0.0855	0.2824	0.2854	0.2155	0.0706	0.0085	
	1983	1	6	1	1	2	0	100	0.0855	0	0.004	0.0194	0.0097	0.0189
	1984	1	6	1	1	1	0	100	0.1638	0.2626	0.2291	0.1502	0.0601	0.0057	
	1984	1	6	1	1	2	0	100	0.1638	0	0.0178	0.065	0.0329	0.0127
	1985	1	6	1	1	1	0	100	0.0932	0.2589	0.3618	0.1586	0.057	0.0097	
	1985	1	6	1	1	2	0	100	0.0932	0	0.0065	0.0291	0.0239	0.0013
	1986	1	6	1	1	1	0	100	0.1276	0.1831	0.2553	0.2025	0.0863	0.0132	
	1986	1	6	1	1	2	0	100	0.1276	0	0.015	0.0607	0.044	0.0123
	1987	1	6	1	1	1	0	100	0.0556	0.1597	0.1944	0.0694	0.0417	0	
	1987	1	6	1	1	2	0	100	0.0556	0	0.0417	0.2986	0.1111	0.0278
	1989	1	6	1	1	1	0	100	0.1341	0.1514	0.1352	0.1941	0.1758	0.0346	
	1989	1	6	1	1	2	0	100	0.1341	0	0.002	0.0528	0.0854	0.0346
	1990	1	6	1	1	1	0	100	0.0495	0.2075	0.2616	0.1795	0.1221	0.0726	
	1990	1	6	1	1	2	0	100	0.0495	0	0.001	0.0263	0.056	0.0239
	1991	1	6	1	1	1	0	100	0.0125	0.0921	0.2857	0.2678	0.096	0.0109	
	1991	1	6	1	1	2	0	100	0.0125	0	0.0039	0.0265	0.1163	0.0882
	1993	1	6	1	1	1	0	100	0.0055	0.0331	0.0552	0.1271	0.116	0.0276	
	1993	1	6	1	1	2	0	100	0.0055	0	0.0166	0.1934	0.2707	0.1547
	1995	1	6	1	1	1	0	100	0.0588	0.08	0.0988	0.2576	0.2341	0.0847	
	1995	1	6	1	1	2	0	100	0.0588	0	0.0035	0.0329	0.0718	0.0776
	1996	1	6	1	1	1	0	100	0.1214	0.1835	0.1733	0.1022	0.0599	0.0265	
	1996	1	6	1	1	2	0	100	0.1214	0	0.0181	0.1214	0.1242	0.0695
	1997	1	6	1	1	1	0	100	0.2297	0.2351	0.1189	0.1568	0.1216	0.0676	
	1997	1	6	1	1	2	0	100	0.2297	0	0	0.0189	0.027	0.0243
	1998	1	6	1	1	1	0	100	0.1395	0.4136	0.2653	0.0544	0.0236	0.0034	
	1998	1	6	1	1	2	0	100	0.1395	0	0.0238	0.0317	0.017	0.0272
	1999	1	6	1	1	1	0	100	0.0192	0.1168	0.3566	0.3605	0.0838	0.0154	
	1999	1	6	1	1	2	0	100	0.0192	0	0.01	0.0223	0.0069	0.0085
	2000	1	6	1	1	1	0	100	0.0885	0.1062	0.1646	0.3345	0.1788	0.0372	
	2000	1	6	1	1	2	0	100	0.0885	0	0.0018	0.0513	0.023	0.0142
	2002	1	6	1	1	1	0	100	0.3136	0.2763	0.1761	0.0681	0.0668	0.0501	
	2002	1	6	1	1	2	0	100	0.3136	0	0.0077	0.0051	0.0154	0.0064
	2003	1	6	1	1	1	0	100	0.0994	0.2236	0.2994	0.1801	0.0559	0.0261	
	2003	1	6	1	1	2	0	100	0.0994	0	0.0224	0.0273	0.0261	0.0273
	2004	1	6	1	1	1	0	100	0.0175	0.1643	0.2622	0.3462	0.1119	0.0105	
	2004	1	6	1	1	2	0	100	0.0175	0	0.0175	0.021	0.014	0.0245
	2005	1	6	1	1	1	0	100	0.0741	0.1407	0.1827	0.2173	0.1852	0.0765	
	2005	1	6	1	1	2	0	100	0.0741	0	0.0025	0.0395	0.0593	0.0173
	2006	1	6	1	1	1	0	100	0.1406	0.2266	0.209	0.1563	0.0547	0.0215	
	2006	1	6	1	1	2	0	100	0.1406	0	0.0176	0.043	0.0742	0.0352
	2007	1	6	1	1	1	0	100	0.1486	0.2095	0.3784	0.1419	0.0473	0	
	2007	1	6	1	1	2	0	100	0.1486	0	0.0068	0.0203	0.0405	0
	2008	1	6	1	1	1	0	100	0.1898	0.3219	0.1703	0.1479	0.0672	0.0083	
