# Simple example for Gmacs model development
# Adaptation of catage.tpl from ADMB, for extension to multiple dimensions required for Crab modelling

# Think: How can we account for years where some dimensions have no observed data? 
# May need to record vectors with informtion on which years (have this) which sex, which shell, etc.

12 	# N_years
7	# N_size_classes 
2 	# N_sexes
2	# N_shell_types
2 	# N_life_stages

# Observed Catch at size
# Size classes: 1  2  3  4  5  6  7 
# Years: 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979
13	129	646	954	99	19	4	13	129	646	954	99	19	4	13	129	646	954	99	19	4	13	129	646	954	99	19	4	13	129	646	954	99	19	4	13	129	646	954	99	19	4	13	129	646	954	99	19	4	13	129	646	954	99	19	4
19	169	416	1031	243	47	18	19	169	416	1031	243	47	18	19	169	416	1031	243	47	18	19	169	416	1031	243	47	18	19	169	416	1031	243	47	18	19	169	416	1031	243	47	18	19	169	416	1031	243	47	18	19	169	416	1031	243	47	18
40	354	606	479	152	18	7	40	354	606	479	152	18	7	40	354	606	479	152	18	7	40	354	606	479	152	18	7	40	354	606	479	152	18	7	40	354	606	479	152	18	7	40	354	606	479	152	18	7	40	354	606	479	152	18	7
32	606	1424	644	157	23	17	32	606	1424	644	157	23	17	32	606	1424	644	157	23	17	32	606	1424	644	157	23	17	32	606	1424	644	157	23	17	32	606	1424	644	157	23	17	32	606	1424	644	157	23	17	32	606	1424	644	157	23	17
0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5	0	226	1178	1156	116	16	5
2	165	593	982	428	22	11	2	165	593	982	428	22	11	2	165	593	982	428	22	11	2	165	593	982	428	22	11	2	165	593	982	428	22	11	2	165	593	982	428	22	11	2	165	593	982	428	22	11	2	165	593	982	428	22	11
53	209	560	410	30	0	4	53	209	560	410	30	0	4	53	209	560	410	30	0	4	53	209	560	410	30	0	4	53	209	560	410	30	0	4	53	209	560	410	30	0	4	53	209	560	410	30	0	4	53	209	560	410	30	0	4
0	105	674	446	16	2	2	0	105	674	446	16	2	2	0	105	674	446	16	2	2	0	105	674	446	16	2	2	0	105	674	446	16	2	2	0	105	674	446	16	2	2	0	105	674	446	16	2	2	0	105	674	446	16	2	2
46	422	838	726	70	4	4	46	422	838	726	70	4	4	46	422	838	726	70	4	4	46	422	838	726	70	4	4	46	422	838	726	70	4	4	46	422	838	726	70	4	4	46	422	838	726	70	4	4	46	422	838	726	70	4	4
3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0	3	310	1224	1068	65	0	0
14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6	14	354	1264	1172	69	0	6
6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0	6	429	1222	1067	192	0	0

# Efforts in thousands
9.857 9.093 6.571 9.508 9.358 9.892 7.833 7.936 11.229 14.042 13.329 11.854 

# Initial M value
0.3
